# Orthros 5-round experiment keys and correlations
# Mode   : 2
# Offset : 3
# ΔL     : 00000000000000000000066600000000
# ΔR     : 00000000010100000000000000000000
# Output : 00000000220200000000000000000000
ExperimentID,Key,Correlation
89,9624e2101d1b72a7560ad7529cb2c3d3,+3.410805948079e-05
90,cb06ea0e92f222be7cf35aeabf721f8c,+5.690520629287e-05
91,2a2caa7926b623173d56548a4b28d985,+1.840782351792e-05
92,8171c38e691a2b94a2328f5ec0d7ff87,+5.009933374822e-05
93,171302ef70096da1a298c54cf050d0c6,+4.747789353132e-05
94,eee348fd911656bb146c08f51d9204db,+5.240878090262e-05
95,03f5f37ffc1c95404c4c4d14e94abc00,+2.938020043075e-05
96,151b524d35f34e13640d8cedd4e0583c,+5.619879812002e-05
97,bfe01c2301f3c6a76fda5478635fced7,+4.519987851381e-05
98,3680d5b5f2d5ef2ae4634ae66d488b04,+4.749093204737e-05
99,e7f7103627a321d834a2770099a1c311,+2.881418913603e-05
100,d987d21fa2717247a413316d6735a76c,+3.950763493776e-05
